issue title,issue description
"1: Ride met een ""station vehicle"" starten",
"2: Ride met een ""free vehicle""  starten",
"3: Ride met een ""station vehicle"" beëindigen",
"4: Ride met een ""free vehicle""  beëindigen",
"5: De ontvangen locatie van een ""free vehicle"" verwerken",
"10: De dichtst bijzijnde ""free vehicle"" opvragen",
12: Ritprijs berekenen,
11: Ritprijs (in XML formaat) doorsturen naar Invoice systeem,
52: Code-impact van ander prijs berekening mechanisme beperken,
20: Code-impact van ander dan json formaat voor ride events beperken,
23: Bikes beheren (CRUD) via een rest API.,
26: Pricing details ophalen bij pricing service,
27: Opgehaalde pricing details cachen,
28: Open ride detecteren als een rit ongewoon lang duurt,
29: Open ride detecteren als een free vehicle ongewoon lang opdelfde locatie blijft,
30: Code-impact van ander open ride detectiemechanisme beperken,
"41: Queue, databank en andere settings kunnen beheren in  configuratiebestand",
43: Project versiebeheer in GitLab opzetten,
45: Logging en foutafhandeling correct toepassen,
38: CloudAMQP als message queue client opzetten,
49: Unit test van de prijsberekening met mocking van Pricing Service,
50: Unit test van open ride detectie,
51: API testen ,
52: Spring boot project opzetten,
55: SQL Server 2017 database opzetten en script inladen,
56: Free locks voor een station ophalen,
